feature,timestamp,Max-mag,Max-x,Max-y,Max-z,Mean-mag,Mean-x,Mean-y,Mean-z,Min-mag,Min-x,Min-y,Min-z,Std-mag,Std-x,Std-y,Std-z,label
1972,1186200,0.44073508,0.326403326,0.784883721,0.2265625,0.730135527,0.591954498,0.913256431,0.380768133,0.726287349,0.615384615,0.822157434,0.524850895,0.332962863,0.17435917,0.592633812,0.241785507,4
1973,1186800,0.44073508,0.326403326,0.880813953,0.2265625,0.733879818,0.59123061,0.918154353,0.386159652,0.722812786,0.615384615,0.822157434,0.524850895,0.332759046,0.178429288,0.608263704,0.253530483,4
1974,1187400,0.44073508,0.326403326,0.880813953,0.2265625,0.738356895,0.583309204,0.92765266,0.397037836,0.722812786,0.615384615,0.822157434,0.524850895,0.332360575,0.189318664,0.622717074,0.251342627,4
1975,1188000,0.429332673,0.295218295,0.880813953,0.2265625,0.732614379,0.583226474,0.918383228,0.393073483,0.722812786,0.615384615,0.822157434,0.576540755,0.316614059,0.177334401,0.592746445,0.240640197,4
1976,1188600,0.429332673,0.295218295,0.880813953,0.2265625,0.729812247,0.556504654,0.937082303,0.390314294,0.722812786,0.615384615,0.822157434,0.576540755,0.321857958,0.175018359,0.619054604,0.235306821,4
1977,1189200,0.429332673,0.295218295,0.880813953,0.2265625,0.740062926,0.562750776,0.943445024,0.407376867,0.722812786,0.638461538,0.839650146,0.632206759,0.325811538,0.171778974,0.62119975,0.22860354,4
1978,1189800,0.372305742,0.295218295,0.723837209,0.21875,0.745052819,0.569555326,0.939577039,0.421680251,0.739753764,0.636538462,0.839650146,0.632206759,0.314053321,0.181926719,0.609972932,0.207852355,4
1979,1190400,0.372305742,0.295218295,0.723837209,0.21875,0.734135238,0.578697001,0.917078641,0.407598871,0.71751856,0.636538462,0.841107872,0.586481113,0.32242626,0.169358342,0.600258697,0.213747284,4
1980,1191000,0.346992453,0.274428274,0.668604651,0.21875,0.724294193,0.567797311,0.904765174,0.408867464,0.71751856,0.636538462,0.841107872,0.586481113,0.310390066,0.17182583,0.575667497,0.210827246,4
1981,1191600,0.376711633,0.274428274,0.654069767,0.216145833,0.721833429,0.554953464,0.917124416,0.398433288,0.71751856,0.617307692,0.841107872,0.586481113,0.31856296,0.169071857,0.587770341,0.207882661,4
1982,1192200,0.448117094,0.274428274,0.668604651,0.244791667,0.75684719,0.562440538,0.960564863,0.439599125,0.71751856,0.617307692,0.841107872,0.586481113,0.368068884,0.182791165,0.624312707,0.237232015,4
1983,1192800,0.448117094,0.268191268,0.668604651,0.244791667,0.758316462,0.561894756,0.963690244,0.441218197,0.71751856,0.617307692,0.841107872,0.586481113,0.386441412,0.182930676,0.61121245,0.249005221,4
1984,1193400,0.448117094,0.268191268,0.668604651,0.244791667,0.757093985,0.563205791,0.957612378,0.444958929,0.724957223,0.617307692,0.82361516,0.62027833,0.390070757,0.190575915,0.605489089,0.2517544,4
1985,1194000,0.448117094,0.268191268,0.674418605,0.244791667,0.76902884,0.575118925,0.968461046,0.451619042,0.724957223,0.617307692,0.82361516,0.62027833,0.390768809,0.19608883,0.621567624,0.257992241,4
1986,1194600,0.448117094,0.268191268,0.674418605,0.244791667,0.776498913,0.586101344,0.972832555,0.454885668,0.724957223,0.617307692,0.822157434,0.560636183,0.383498097,0.185379509,0.630906103,0.26129929,4
1987,1195200,0.395156228,0.299376299,0.674418605,0.243489583,0.746164284,0.583391934,0.925730111,0.429164949,0.724957223,0.617307692,0.822157434,0.560636183,0.342820285,0.186277886,0.57119146,0.261628879,4
1988,1195800,0.367447831,0.299376299,0.674418605,0.243489583,0.740806911,0.571520165,0.926073423,0.426469189,0.724957223,0.632692308,0.822157434,0.560636183,0.319206431,0.178999459,0.570501114,0.249062496,4
1989,1196400,0.366982741,0.299376299,0.674418605,0.243489583,0.749484803,0.577063082,0.929826971,0.443151185,0.730251818,0.632692308,0.822157434,0.560636183,0.313621651,0.171398127,0.567519699,0.24560408,4
1990,1197000,0.366982741,0.334719335,0.645348837,0.25390625,0.759541277,0.581730745,0.919742774,0.488295514,0.730251818,0.632692308,0.822157434,0.560636183,0.305291991,0.178099965,0.539264871,0.246726481,4
1991,1197600,0.456958937,0.334719335,0.639534884,0.263020833,0.778432144,0.602771458,0.913874393,0.534711871,0.730251818,0.642307692,0.839650146,0.580516899,0.320566801,0.16828465,0.523560519,0.25742998,4
1992,1198200,0.599534631,0.334719335,0.75,0.274739583,0.815886766,0.633815926,0.932253044,0.591259396,0.734567295,0.642307692,0.839650146,0.689860835,0.356141338,0.181202184,0.582385999,0.2441813,4
1993,1198800,0.599534631,0.334719335,0.75,0.282552083,0.840435502,0.646142709,0.92719491,0.666233231,0.734567295,0.603846154,0.836734694,0.689860835,0.343545375,0.173877799,0.603523307,0.242454357,4
1994,1199400,0.627328252,0.378378378,0.75,0.315104167,0.879010219,0.689327818,0.927217797,0.738701595,0.791254518,0.603846154,0.836734694,0.723658052,0.344384879,0.1935194,0.605095239,0.229210319,4
1995,1200000,0.627328252,0.378378378,0.75,0.315104167,0.87945823,0.675842813,0.93010162,0.754273572,0.791254518,0.603846154,0.836734694,0.72166998,0.34377024,0.190312789,0.616959582,0.227504088,4
1996,1200600,0.627328252,0.378378378,0.75,0.31640625,0.88422701,0.687549121,0.918955415,0.771653294,0.815702391,0.603846154,0.801749271,0.72166998,0.345133453,0.192822069,0.6193593,0.228818491,4
1997,1201200,0.627328252,0.378378378,0.677325581,0.31640625,0.865722942,0.665087901,0.907008148,0.757381624,0.780777563,0.603846154,0.78425656,0.72166998,0.344506416,0.205761879,0.622369629,0.233566194,4
1998,1201800,0.627328252,0.378378378,0.677325581,0.31640625,0.833558665,0.65327818,0.886661174,0.696076877,0.761992635,0.603846154,0.78425656,0.72166998,0.377859157,0.198729761,0.620117137,0.242453646,4
1999,1202400,0.511279586,0.332640333,0.697674419,0.31640625,0.810582612,0.614663909,0.899180628,0.650407535,0.761992635,0.576923077,0.78425656,0.72166998,0.346624708,0.189174529,0.629222917,0.225790076,4
2000,1203000,0.511279586,0.332640333,0.697674419,0.31640625,0.797024961,0.605460186,0.898288016,0.618248708,0.761992635,0.576923077,0.78425656,0.731610338,0.368129853,0.184488858,0.640731485,0.224166728,4
2001,1203600,0.47357443,0.332640333,0.697674419,0.266927083,0.783390515,0.601096174,0.915041655,0.550569281,0.757898887,0.576923077,0.78425656,0.654075547,0.354879796,0.183420778,0.633961149,0.215257309,4
2002,1204200,0.47357443,0.316008316,0.697674419,0.251302083,0.769001126,0.590722505,0.914744555,0.516733406,0.757898887,0.576923077,0.804664723,0.654075547,0.336958342,0.175533236,0.5944526,0.203588788,4
2003,1204800,0.47357443,0.316008316,0.697674419,0.251302083,0.778966866,0.596463289,0.937654491,0.506993118,0.756481432,0.576923077,0.804664723,0.654075547,0.331468704,0.174422213,0.571965456,0.218516995,4
2004,1205400,0.47357443,0.316008316,0.677325581,0.240885417,0.764737695,0.589513961,0.931612194,0.477625194,0.756481432,0.651923077,0.848396501,0.654075547,0.329596766,0.167838043,0.553040998,0.212059327,4
2005,1206000,0.371780607,0.316008316,0.656976744,0.239583333,0.760576913,0.596628749,0.93802069,0.442168025,0.756481432,0.605769231,0.825072886,0.548707753,0.309664278,0.171615431,0.547426086,0.215352703,4
2006,1206600,0.371780607,0.32016632,0.656976744,0.263020833,0.76657754,0.596690796,0.941202051,0.457327709,0.752355732,0.605769231,0.825072886,0.548707753,0.327769429,0.181944852,0.565887505,0.23160807,4
2007,1207200,0.387174327,0.32016632,0.680232558,0.263020833,0.767810074,0.594953464,0.943490799,0.460023469,0.752355732,0.605769231,0.813411079,0.548707753,0.330030918,0.178721668,0.580488341,0.236221681,4
2008,1207800,0.387174327,0.32016632,0.680232558,0.263020833,0.764107617,0.594850052,0.947702096,0.440106562,0.729323006,0.605769231,0.813411079,0.548707753,0.32938233,0.179095707,0.583893931,0.244598007,4
2009,1208400,0.387174327,0.32016632,0.680232558,0.263020833,0.763693623,0.601733248,0.945263632,0.432600654,0.729323006,0.605769231,0.813411079,0.548707753,0.344738222,0.17695184,0.605623312,0.247227887,4
2010,1209000,0.387174327,0.32016632,0.680232558,0.263020833,0.755449528,0.601778697,0.931268882,0.426818052,0.729323006,0.648076923,0.813411079,0.560636183,0.350050981,0.167056536,0.603767711,0.241936595,4
